,text,rated,coloring,date,name,bank,sex
0,"Возмутительный способ обмана придумали крючкотворцы в ВТБ! При открытии вклада ""Сейф"", по д 24 % годовых, они, в своих комментариях, под ""минимальным остатком"" понимают первый поступивший взнос на счет! Тем самым вводя в заблуждение вкладчиков.  Поясняю: для открытия накопительного счета ""Сейф"", на счет нужно внести некую сумму. 24.03.22 г. я внес 24 рубля, 55 копеек, которая была на соседнем счете. А основную сумму для начисления процентов, 10 000 000 (10 миллионов) рублей, я доложил на открытый счет, через день, 26.03.22 г., в расчете на получение процентов о вклада начиная уже с 26.03.22 г. т.к. вклад увеличился! Но 31.03.22 г. обнаруживаю, что проценты начислили только на 24 рубля, 55 копеек!!!  Т.е. моя прибыль составила 11 копеек! А 10 000 000 руб. пролежали без процентов! Сотрудники банка пояснили, что мне надо было лучше читать условия договора о вкладе. И что ""минимальный остаток"", это не то, что осталось, а первый взнос на счет! Враньё, безтыдство и неуважение к людям! Недостойно для такого банка! Не верьте ВТБ! Чем больше банк, тем больше вас хотят обмануть! А если решите вкладывать в ВТБ свои деньги, то просите расшифровывать все термины! Хотя они всячески этого избегают!",1,bad,"04 апр, 2022",Сергей,vtb,male
1,"Не храните в нем деньги, ни коем случае! У меня была карта, на счету 2500. Срок действия истёк, в банке убедили, что можно не выпускать новую, если понадобятся деньги, можно в любой момент их получить в кассе с паспортом. Время шло, я решила оставить эту сумму на всякий случай. И вот сегодня проходила мимо банка и решила деньги снять. И тут внимание!!!! Денег на счёте нет, с меня их списали за то что я не пользовалась ими! Вы слышали о таком когда-нибудь? Я нет! Это просто треш! Не процент капает на то что деньги лежат, а наоборот!!! Выдали мне бумагу о том как списывались деньги и всё! Занавес! При это все время мне приходили смс и звонки от банка с предложениями на кредиты, о том что списывают придуманную комиссию за обслуживание не активных счетов! Видимо в ручную перекладывали 2500 каждый день и устав решили ее списать!",1,bad,"30 мар, 2022",Альбина,uralsib,female
2,"С 09.03.22 не могу получить средства с евро счета, должны выдавать в долларах или в рублях по курсу ЦБ, если сумма не превышает 10.000 долларов . Якобы что-то сломалось в системе,  могут выдать только по своему курсу, 1 евро колеблется от 85 до 92 рублей. Полный беспредел,  издевательство и пренебрежение к законам. Кому война, кому мать родна. Это про Уралсиб!",1,bad,"24 мар, 2022",Ирина,uralsib,female
3,"Очень долгое обслуживание, сотрудники совершенно не клиентоориентированы. В частности отделение на ул. Гримау, дом 6.Два дня пытался получить консультацию, но так и не получил... Может быть надо записываться за неделю заранее или за месяц?",1,bad,"14 мар, 2022",Александр,gazprombank,male
4,Звоню третий день по вопросу валюты. Оператор говорит что переведёт звонок в профильный отдел. Ставит на удержание и звонок сбрасывется! И так уже третий день!!,1,bad,"14 мар, 2022",Сергей Владимирович,gazprombank,unkn
5,"Опыт сложился негативный, Сегодня 3марта 2022 года, сразу, после введения санкций Газпромбанк, жестко ограничил доступ клиентов банка к ихнмм счетам и вклалам, ссылаясь на технические проблемы и сбои на сайте Телеграм 2.0.  Уже пошли сегодня четвертые сутки исправления этой неисправности, до сих пор не возможно войти в счета и вклалы на сайте и предпринять хоть какие то попытки по спасению личных денежных средств. Вчера был в офисе банка Газпромбанк, управляющий сказал что била Дос атака. Что за атака, которую не могут устранить 4 сутки. Я полагаю, что эта проблема была создана специально, чтобы лишить людей предпринять попытки к спасению своих денежных средств..",1,bad,"03 мар, 2022",Илья,gazprombank,male
6,"и 01.03.2022 приложения не работают. в 23ч приложение чуть ожило и сразу при переводе своих денег заблокировали карту. По телефону с сайта банка не дозвониться. робот постоянно говорит, что соединит через минуту, так прошел час, никто не ответил, потом скинули.  почитала по отзывам на других ресурсах, в офисах банка очереди.. как разблокировать карту?",1,bad,"01 мар, 2022",Марина,gazprombank,female
7,"ОАО Газпромбанк офис г. Новосибирск ул. Богдана Хмельницкого 104 не предоставляет справку о выплаченных процентах по ипотечному кредитованию № 16241-ФЛ от 19.02.2013г.  При трехкратном обращении в отделение банка, три раза составлено заявление , банк отвечает что выше обращение потеряно. Прошу разобраться в данном вопросе.",1,bad,"01 мар, 2022",Виктория,gazprombank,female
8,"Мы с мамой обратились 24.02.2022 в отделение Газпромбанка г.Пенза ул.Славы 4 для получения кредитной карты. мою маму вызвали в окно номер 2 по талону В006 сотрудница Елена( фамилию и отчество не знаю т.к. ни бейджа  , ни каких ее опознавательных знаков на рабочем месте не было) так вот пригласили ее в окно, уточнили какую ей нужно совершить операцию, после того как она ответила забрать готовую карту, что я слышу ?! С пренебрежением и повышенным тоном эта Елена ей отвечает : Вы вообще уверены что она у нас или это ваши догадки?! Мама растерялась. Подошла ко мне за помощью.Мою операцию завершили и я подошла в окно где обслуживалась мама и показала смс которое пришло (ждем Вас в отделении за получением карты по такому то адресу) . Елена увидела сообщение и всё с той же возмущенной интонацией заявила: вообще то надо было сразу так и сказать ! Че я сижу тут в программе ищу ваши данные. Что ? Извините , но вы обслуживаете не клиента который пришел именно к вам за услугой, а клиента БАНКА! Услышав весь диалог другая сотрудница подсказала Елене где найти карту и что она действительно в офисе. Вопрос: если ты не знаешь как совершать данную операцию можно уточнить у коллег и не строить из себя руководителя офиса.правда?Думаю да!ладно идем дальше. Далее началось самое интересное ! Эта Елена на весь офис начала задавать вопрос коллегам : кому нужна кредитная карта. Всё понятно планы и ставятся они не маленькие. Знаю т.к. сама сотрудник банка(слава богу другого) . Предложили нам подождать когда другой сотрудник закончит обслуживание клиента и займется нами,но ждать мы  не могли, потому что в очереди сидели итак примерно 40 минут. И что я услышала дальше? Обращение Елены к коллеге: Наташа, зайди мне в свою учётку я сама всё сделаю и все проблемы. Что ? Вы серьезно ? Если бы я так сделала на своем рабочем месте , то выставили бы экспертизу и началось служебное расследование , а конец я думаю известен в хорошем случае дисциплинарное взыскание или даже увольнение.Т.е у Вас любой сотрудник может под учетными данными коллеги совершать любую операцию ? Мошеннические действия со счетами клиентов, утечка данных и хищение денег никто не отменял. Очень надеюсь что службу безопасности заинтересует эта ситуация . Наталья зашла своей учёткой и Елена начала выдачу карту.Далее стандартная процедура : скан документов, их заверила конечно Наталья, распечатка кредитного договора на карту и тут опять нюанс! Елена дает документы клиенту и показывает где ставить  подпись без объяснения условий. Извините моей маме более 50 лет и всех подводных камней она не знает и именно по этому попросила меня с ней съездить в офис. Я задала вопросы  сотруднику типа какой процент , какой льготный период,условия снятия наличных и сделала замечание что сначала нужно объяснить условия , а потом подсовывать на подпись документы человеку который без очков толком не видит. В ответ на замечание я услышала: встаньте и отойдите от окна ! Я буду общаться только с клиентом.я отказалась отходить и получила : значит сидите и молчите. Что ? Ты свою должностную инструкцию почитай и там указано как нужно себя вести с клиентами! Ладно я промолчала т.к не хотела скандалить.  Они подписали документы и Елена начала звонить на горячую линию узнавать что делать с картой. Нужно ли ее активировать . Это фиаско!!!!! Ты сотрудник который не знаешь технические моменты , не знаешь что под учеткой другого сотрудника совершение операций категорически запрещено и за это может наступить дисциплинарная,административная и уголовная ответственность сидишь хамишь и строишь из себя руководителя офиса?! Браво Газпромбанк! Очень надеюсь что будут приняты меры к сотрудникам и жду официальный ответ о проведённых действиях",1,bad,"26 февр, 2022",алена,gazprombank,unkn
9,Омск. С 24.02.22 невозможно снять наличные деньги. Объехал весь город. Масимальный лимит найденный в одном из банкоматов в офисе банка на ул.70 лет Октября 2г.02.22 - 300рублей! На просьбу снять через кассу со счета сотрудники невнятно лепечут  что это требует согласования со службой безопасности с неизвестным сроеом принятия решения. Газпромбанк - дно финансовых организаций.,1,bad,"26 февр, 2022",Олег,gazprombank,male
